FPR TPR
0.000000 0.000000
0.000000 0.000333
0.000000 0.624667
0.000333 0.624667
0.000333 0.656667
0.000667 0.656667
0.000667 0.678000
0.001000 0.678000
0.001000 0.730000
0.001333 0.730000
0.001333 0.884667
0.001667 0.884667
0.001667 0.910667
0.002000 0.910667
0.002000 0.923333
0.002333 0.923333
0.002333 0.958000
0.002667 0.958000
0.002667 0.968333
0.003000 0.968333
0.003000 0.971333
0.003333 0.971333
0.003333 0.985333
0.003667 0.985333
0.003667 0.989000
0.004000 0.989000
0.004000 0.990667
0.005000 0.990667
0.005000 0.991667
0.005333 0.991667
0.005333 0.992333
0.006333 0.992333
0.006333 0.993000
0.007333 0.993000
0.007333 0.993667
0.008000 0.993667
0.008000 0.994000
0.008333 0.994000
0.008333 0.994667
0.008667 0.994667
0.008667 0.995000
0.009000 0.995000
0.009000 0.995667
0.009333 0.995667
0.009333 0.996000
0.009667 0.996000
0.009667 0.996333
0.012000 0.996333
0.012000 0.996667
0.013000 0.996667
0.013000 0.997000
0.015000 0.997000
0.015000 0.997333
0.017667 0.997333
0.017667 0.998333
0.113000 0.998333
0.113000 0.998667
0.187000 0.998667
0.187000 0.999000
0.579667 0.999000
0.579667 0.999333
0.873333 0.999333
0.873333 0.999667
0.943333 0.999667
0.943333 1.000000
1.000000 1.000000
