FPR TPR
0.000000 0.000000
0.000000 0.001000
0.000000 0.156000
0.001000 0.156000
0.001000 0.479000
0.002000 0.479000
0.002000 0.559000
0.003000 0.559000
0.003000 0.647000
0.004000 0.647000
0.004000 0.661000
0.005000 0.661000
0.005000 0.692000
0.006000 0.692000
0.006000 0.719000
0.007000 0.719000
0.007000 0.760000
0.008000 0.760000
0.008000 0.782000
0.009000 0.782000
0.009000 0.784000
0.010000 0.784000
0.010000 0.837000
0.011000 0.837000
0.011000 0.868000
0.012000 0.868000
0.012000 0.875000
0.013000 0.875000
0.013000 0.886000
0.014000 0.886000
0.014000 0.894000
0.015000 0.894000
0.015000 0.895000
0.016000 0.895000
0.016000 0.909000
0.017000 0.909000
0.017000 0.912000
0.018000 0.912000
0.018000 0.917000
0.020000 0.917000
0.020000 0.932000
0.021000 0.932000
0.021000 0.944000
0.022000 0.944000
0.022000 0.945000
0.024000 0.945000
0.024000 0.948000
0.025000 0.948000
0.025000 0.950000
0.026000 0.950000
0.026000 0.952000
0.028000 0.952000
0.028000 0.954000
0.029000 0.954000
0.029000 0.958000
0.031000 0.958000
0.031000 0.962000
0.034000 0.962000
0.034000 0.963000
0.037000 0.963000
0.037000 0.965000
0.040000 0.965000
0.040000 0.967000
0.043000 0.967000
0.043000 0.968000
0.045000 0.968000
0.045000 0.969000
0.047000 0.969000
0.047000 0.970000
0.048000 0.970000
0.048000 0.971000
0.051000 0.971000
0.051000 0.972000
0.066000 0.972000
0.066000 0.973000
0.068000 0.973000
0.068000 0.975000
0.070000 0.975000
0.070000 0.976000
0.074000 0.976000
0.074000 0.977000
0.075000 0.977000
0.075000 0.979000
0.081000 0.979000
0.081000 0.980000
0.083000 0.980000
0.083000 0.981000
0.088000 0.981000
0.088000 0.982000
0.101000 0.982000
0.101000 0.983000
0.108000 0.983000
0.108000 0.984000
0.118000 0.984000
0.118000 0.985000
0.123000 0.985000
0.123000 0.987000
0.132000 0.987000
0.132000 0.988000
0.135000 0.988000
0.135000 0.989000
0.161000 0.989000
0.161000 0.990000
0.178000 0.990000
0.178000 0.991000
0.181000 0.991000
0.181000 0.992000
0.187000 0.992000
0.187000 0.993000
0.226000 0.993000
0.226000 0.994000
0.238000 0.994000
0.238000 0.995000
0.262000 0.995000
0.262000 0.996000
0.329000 0.996000
0.329000 0.998000
0.376000 0.998000
0.376000 0.999000
0.513000 0.999000
0.513000 1.000000
1.000000 1.000000
